,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
1781,1781,17,Assembly Line Worker,2012-12-08,Former Employee,"Toledo, OH","work to assemble quality daily quota, learned to operate various machinery, welders gauges worked well with management to accomplish daily production never have had problems with co-workers, work well with co-workers when in traning for new job, i'm easy to comprehend, no jobs seem hard to learn most enjoyable part of job, to accomplish quality parts and receive good pay with good benefits",great place to work with great benefits,0.9664,0.613,0.061,0.326,Positive,1.0,0.26780303030303027,0.4629545454545454,392,Positive
1780,1780,16,Auto Mechanic,2012-12-11,Former Employee,"Gaithersburg, MD","liked working for chrysler, i learned a lot about their products in the three years i worked for them i did pretty much anything they asked me to do from pdi's (pre delivery inspections) to putting in an engine management was too inconsistent at the shop i was at i started their the very first day the place opened and from that time until the end of october we have had service mangers, parts mangers, and different service directors the hardest part of the job would probably have to be making sure everything is filled out correctly for warranty purposes the most enjoyable part of the job was just working with my co-workers who i had been around for those three years and driving some of the newest cars out before anyone else","productive shop, with wide range of specialty techs",0.8883,0.914,0.0,0.086,Positive,1.0,0.3638888888888889,0.6580246913580248,732,Positive
1778,1778,14,Title Clerk,2012-12-12,Former Employee,"Coraopolis, Pa",salespersonal are great to work withoffice duities are different on a day to day basisoffice personal are very helpful with extra work,great place to work,0.8016,0.725,0.0,0.275,Positive,1.0,0.2,0.41000000000000003,134,Positive
1779,1779,15,Temporary Part-time Production,2012-12-12,Current Employee,Sterling Heights Michigan,the hardest part of the job is you are not allowed enough time for a break the most enyjoyable part is the people are great to work with,Productive,0.6249,0.864,0.0,0.136,Positive,1.0,0.43333333333333335,0.5833333333333334,136,Positive
1777,1777,13,Sawyer/Assembler,2012-12-16,Former Employee,"Princeville, IL","plenty of overtime, pay was decent, could not keep plant managers while i was there so in light of that, plant policies were changed alot",Overall Review,-0.1027,0.943,0.057,0.0,Neutral,-1.0,0.2833333333333333,0.6833333333333333,137,Positive
1776,1776,12,Gage Engineer,2012-12-17,Former Employee,"Auburn Hills, MI","great training on all relevant aspects of the position management personnel have a great attitude, definitely improved supplier relations co-workers are all qualified professionals fun atmosphere and quite productive","Productive, nice place to work. great people.",0.9538,0.571,0.0,0.429,Positive,1.0,0.45999999999999996,0.62,216,Positive
1775,1775,11,Finance & Marketing Intern,2012-12-21,Former Employee,"Auburn Hills, MI",long hours but a good cooperative team of motivated employees focus on efficiency and quality,Dedicated employees and a change from the old Chrysler,0.9022,0.498,0.0,0.502,Positive,1.0,0.32499999999999996,0.5,93,Negative
1774,1774,10,Sales Representative,2012-12-26,Current Employee,"Bakersfield, CA","get in early morning and proceed to work which includes calling customers, generate new business and follow upi have learned a lot since i started sales strategiesthe management is really good they are there when you need them and they are always close by when you have a new idea or business solution etcco-workers arent too bad and there is a big competition atmosphere along with the team work which is always goodi would say the hardest part of the job is the waiting for a walk in customer partand the most enjoyable part is when we accomplish and achieve the goals we set",a very nice place to work at,0.9237,0.868,0.0,0.132,Positive,1.0,0.17159090909090913,0.459469696969697,577,Positive
1773,1773,9,Engineering,2012-12-30,Former Employee,Michigan,my perspective is from pre-bankruptcy and pre-fiat would not be applicable today,Great company with many growth opportunities.,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,80,Positive
1772,1772,8,Warranty Claims Specialist,2012-12-30,Current Employee,"Centerline, Mi","on a normal day, process claims, contact and recieve calls from dealers great office work environment the hardestr part pf the job is a clear cut poilicy for warranty and claims","Warranty Hotline, claims processor",0.6808,0.747,0.06,0.193,Positive,1.0,0.35000000000000003,0.5944444444444444,177,Positive
1771,1771,7,team member,2013-01-04,Former Employee,perrysburg oh,go in work to get rate must be able to work with others as a team,working to improve quality and pos,0.0,1.0,0.0,0.0,Neutral,0.0,0.5,0.625,65,Positive
1770,1770,6,Picker/Packer,2013-01-05,Former Employee,"Warren, MI",fair place to work has its pros and cons its all about what you desire in a job,Enjoyed my time there.,0.6124,0.75,0.0,0.25,Positive,1.0,0.7,0.9,79,Negative
1769,1769,5,Assembly Laborer,2013-01-07,Former Employee,fenton mo,"good days bad days, towards the end , new hire management had no knowledge or experience working in the industry, or dealing with a union workforce",good job,-0.4215,0.709,0.193,0.098,Positive,-1.0,0.04545454545454549,0.5737373737373738,147,Neutral
1768,1768,4,sales person,2013-01-08,Current Employee,topeka ks,work very hardin personfriendly co-workeshave faninteractive costumers,productive and learn more,0.0,1.0,0.0,0.0,Neutral,0.0,0.2,0.3,70,Positive
1766,1766,2,Assembly Line Team Leader,2013-01-15,Former Employee,"Fenton, MO",it was a very boring and repetitive job management sucked and was very hard to get along with the only good thing about this job was the paycheck,boring job great pay,-0.6858,0.639,0.277,0.084,Positive,-1.0,-0.18583333333333335,0.7108333333333333,145,Negative
1767,1767,3,"Job Setter, Assembly Operater",2013-01-15,Current Employee,"Kokomo, IN","i am thrilled that chrysler has recovered from the bankruptcy and are now building vehicles that the public wants to buy however, as the success continues to grow, individual greed and nonchalant attitudes seem to creep in more and more it seems the company never learns from their previous mistakes it is very discouraging and i am looking for employment more promising and positive","Very stressful, management not qualified to lead people,",0.7239,0.716,0.109,0.175,Positive,1.0,0.255050505050505,0.35656565656565653,383,Negative
1765,1765,1,Plumber Journeyman,2013-01-16,Former Employee,St. Louis North Truck Plant,"supported production, as maintenacnce our job was to ensure the line kept moving and workers had proper working tools and equipment to do their job safely and properlymanagement was always in the back ground allowing us to perform our job with out interference, but supportive of us when neededi enjoyed the challenge of trouble shooting the equipment sometimes we had to work outside and on the roof in bad weathergreat place to work",Maintenance worker-pipefitter,0.4497,0.742,0.095,0.163,Positive,1.0,0.07500000000000002,0.4020833333333333,434,Positive
1763,1763,20,Controls Engineer,2013-01-17,Current Employee,"Belvidere, IL",managing a plc network for over different processors and programs using rs logix / having a birds eye view of all automation and process data using a custom scada system,Working on American automobiles,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.6,169,Positive
1762,1762,19,body technician,2013-01-17,Former Employee,riverside ca,i being in the auto body repair industry for more than years and i work mainly for new car dealerships i am a perfectionist on my profesion and it is very hard to get a job when the interviewers i much younger than yourself i think they dont know that the older you get the more you know but if you are younger with a diploma and no expirience at all they think a piece of paper it is going to do the job so anybody that reads this coment be advised that there is no future for auto body refinishers and repairers because the insurance companies and the big corporations are killing this trade by paying lower commisions and and keeking the best part for them,no oportunities for mature qualified persons,-0.8072,0.826,0.118,0.056,Positive,-1.0,0.19004820936639116,0.3045798898071625,659,Positive
1761,1761,18,Registered Nurse,2013-01-18,Former Employee,"Newark, DE","fast pace environment, management/union relationship, good relations with all co-workers, managing good relations between management and union, achievement in all aspect of job descriptions",Chrysler Newark Assembly Plant,0.7003,0.791,0.0,0.209,Positive,1.0,0.5333333333333333,0.6000000000000001,189,Positive
1760,1760,17,Product Engineer,2013-01-20,Current Employee,Mexico City,there is a good environment to work with nice people the thing here is that they just hire people as contractors and it has to pass a long time to be hired directly by chrysler,"Nice people to work with, access to several training courses, good job",0.6908,0.845,0.0,0.155,Positive,1.0,0.33749999999999997,0.6,176,Positive
1759,1759,16,Production/Logistics Planner,2013-01-22,Former Employee,"Kenosha, WI",chrysler - kenosha engine plant was a very challenging and rewarding company to work for we were offered a lot of training from continuous improvement from lean manufacturing they offered us a great benefits package there was a great team culture in the production control department the most difficult part of the job was the rumors of kenosha engine closing their doors,Chrysler - Kenosha Engine Plant,0.9482,0.693,0.039,0.268,Positive,1.0,0.4583333333333333,0.8333333333333334,371,Positive
